code,food_name,water_g,protein_g,fat_g,carbohydrate_available_g,fibre_g,ash_g
05028,"Pear, unpeeled, raw",86,0.4,0.2,9.1,4,0.3
05029,"Pineapple, canned in syrup, whole contents",77,0.3,0.6,21.2,0.7,0.2
05030,"Pineapple, raw",88.6,0.48,0.2,8.1,2.3,0.3
05031,"Plum, purple skin, raw",86.9,0.7,0.1,9.9,2,0.4
05032,"Pomegranate, raw",78.1,1.6,0.2,13.3,6.4,0.4
05033,"Raspberry, raw",83.2,1.4,0.2,8.9,5.6,0.7
05034,"Strawberry, raw",90,0.7,0.2,6.3,2.5,0.4
05035,"Tangerine, juice, non-commercial",88.3,0.6,0.2,10.3,0.2,0.4
05036,"Tangerine, pulp, raw",86.2,0.87,0.2,10.8,1.5,0.4
05037,"Tree tomato, dark red skin, peeled, raw",85.6,2.1,0.3,4.6,6.5,0.9
05038,"Watermelon, fruit, green with white stripes, raw",92.9,0.6,0.3,5,0.93,0.3
05039,"Zambarau, peeled, raw",85.3,0.52,0.4,13.5,0,0.4
06001,"Butter (cow milk), no added salt (~80-84% fat)",17.2,1.1,81.3,0,0,0.7
06002,"Butter (cow milk), salted (~80% fat)",15.3,1.1,81.3,0.6,0,1.7
06003,"Cheese, cheddar, regular fat",37,26,32.8,0.4,0,3.8
06004,"Cheese, cottage (cow milk), plain, skimmed",79,13.3,2.5,3.8,0,1.5
06005,"Cheese, cottage (cow milk), plain, whole",75.4,15.4,5.7,2.1,0,1.4
06006,"Cheese, cottage, Milk, Cow, Sour",73.6,13.7,4.3,7.2,0,1.2
06007,"Cream, pure, 35% fat",72,2.4,23.6,1.7,0,0.3
06008,Ghee (cow milk),0,0.3,99.9,0,0,0.5
06009,"Ice cream, caramel flavour, regular fat",61.4,3.7,10.6,23.6,0,0.7
06010,"Ice cream, chocolate flavour, regular fat",56.4,4.4,12,24.2,2,1
06011,"Ice cream, strawberry flavour, regular fat",60.7,3.5,9.5,25.2,0.5,0.7
06012,"Ice cream, vanilla flavour, regular fat",62.7,3.9,10.6,22.2,0,0.7
06013,"Ice cream, vanilla flavour, with nuts, regular fat",59.6,4,12.2,23.3,0.2,0.7
06014,"Milk, camel, whole, fresh, raw",89.8,2.2,2.8,4.5,0,0.7
06015,"Milk, cow, condensed, skimmed, sweetened, raw",27,9.9,0.2,60.7,0,2.2
06016,"Milk, cow, condensed, whole, sweetened, raw",25.8,8.3,9.2,54.8,0,1.9
06017,"Milk, cow, powder, skimmed",4.1,37.2,0.9,51,0,6.8
06018,"Milk, cow, powder, whole",3.2,26.1,26.4,38.4,0,6
06019,"Milk, cow, skimmed, raw",89.8,3.5,0.1,5.8,0,0.8
06020,"Milk, cow, whole, fermented (Lala - Industrial)",88.3,2.8,4.1,4.1,0,0.7
06021,"Milk, cow, whole, fermented (Lala - mursik)",89.1,3.1,3.5,3.6,0,0.8
06022,"Milk, cow, whole, fresh, raw",86.3,3.3,3.5,6.1,0,0.7
06023,"Milk, goat, fluid, whole, raw",85.3,3.5,4.5,5.8,0,0.9
06024,"Milk, human/breast, mature, fluid",87.2,1.2,4.4,7.1,0,0.2
06025,"Milk, sheep, fluid, whole, raw",82.8,5.1,5.8,5.2,0,1.1
06026,"Yoghurt, cow milk, whole, plain",82,2.9,3.1,11.3,0,0.7
06027,"Milk, camel, whole, fresh, boiled",88,2.6,3.3,5.3,0,0.8
06028,"Milk, cow, skimmed, boiled",88,4.1,0.1,6.8,0,0.9
06029,"Milk, cow, whole, fresh, boiled",83.8,3.9,4.2,7.2,0,0.9
06030,"Milk, goat, fluid, whole, boiled",82.7,4.1,5.3,6.8,0,1.1
06031,"Milk, sheep, fluid, whole, boiled",79.8,6,6.8,6.2,0,1.2
07001,"Beef, high fat, w/o bones, raw",58.2,18.6,24.1,0,0,0.9
07002,"Beef, lean, raw",75.6,20.6,2.3,0.4,0,1.2
07003,"Beef, liver, raw",73.9,20,4.2,0.7,0,1.3
07004,"Beef, medium fat, w/o bones, raw",70.3,19.7,7.2,1.8,0,1
07005,"Camel blood, raw",78.4,15.8,0.9,2.7,0,2.2
07006,Camel Meat,60.5,18.6,8.9,10.8,0,1.4
07007,"Cow’s blood, raw",75,13.8,0.9,8,0,2.4
07008,"Duck, meat and skin, fresh, raw",62.2,17.8,21.2,0,0,1.1
07009,"Chicken, unespecified part, w/o bone, meat&skin, raw",63.6,18.7,13,3.8,0,0.9
07010,"Egg, chicken, white (albumen), raw",87.2,11.2,0,0.9,0,0.7
07011,"Egg, chicken, whole, raw",75.9,12.7,8.1,2.4,0,0.9
07012,"Egg, chicken, yolk, raw",51,16.1,28.2,3.2,0,1.5
07013,"Goat blood, raw",86.4,3.8,3.9,4.9,0,1.1
07014,"Goat, lean, raw",74.6,19.5,4.3,0.6,0,1
07015,"Goat liver, raw",74.8,20.2,3.9,0,0,1.3
07016,"Goat, medium fat, raw",68.2,18.6,8.6,3.5,0,1
07017,"Guinea fowl, meat, with skin",75.2,20.5,3.2,0.1,0,0.9
07018,"Lamb liver, raw",67.6,20.4,7.5,3.1,0,1.5
07019,"Lamb, raw (unspecified part)",60,17,22.7,0,0,1
07020,"Pork, meat, raw (unspecified part)",57.2,18.9,23.5,0,0,0.7
07021,"Rabbit meat, raw",67,24.4,4.8,2.5,0,1.3
07022,"Sausage, beef, raw",57.5,12,16.3,9.7,2.2,2.3
07023,"Sausage, frankfurters",60,10,25,1.6,1.5,1.9
07024,"Sausage, liver, raw",52,13,28.5,3.4,0,3.1
07025,"Sausage, pork, raw",51,11.5,32,1.7,1.3,2.5
07026,"Quail, flesh & skin, raw",69.7,19.1,11.5,0,0,1
07027,"Egg, chicken, whole, boiled (without salt)",75.9,12.7,8.1,2,0,0.9
07028,"Egg, chicken, whole, poached (without salt)",72.6,14.4,9.2,3,0,1
